sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number,TIME_TO_CLOSE
SR23-01874587,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-28 14:21:01,2023-10-28T14:31:26.000,2023-10-28 14:21:01,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01847727,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-24 18:44:22,2023-10-24T19:31:17.000,2023-10-24 18:44:22,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,18,3,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01688173,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-01 13:23:49,2023-10-01T13:31:22.000,2023-10-01 13:23:50,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01906966,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-02 18:10:26,2023-11-02T18:31:17.000,2023-11-02 18:10:26,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,18,5,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01876474,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-29 01:47:49,2023-10-29T02:30:39.000,2023-10-29 01:47:50,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,1,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01710614,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-04 13:04:28,2023-10-04T13:31:17.000,2023-10-04 13:04:28,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01910842,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Open,Phone Call,2023-11-03 11:24:36,2023-11-03T12:34:11.000,,949 W ERIE ST,Chicago,Illinois,60642,949,W,ERIE,ST,False,False,24,27,1,12,1214,1,11,6,11,1169770.155788516,1904426.936208405,41.893258031,-87.651949244,"{'latitude': '41.89325803086026', 'longitude': '-87.65194924434485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,N021,,
SR23-01761318,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-12 11:56:13,2023-10-12T11:56:19.000,2023-10-12 11:56:19,5929 N KIMBALL AVE,Chicago,Illinois,60659,5929,N,KIMBALL,AVE,False,False,13,39,1,17,1711,13,11,5,10,1152708.253630273,1939327.661891399,41.989383001,-87.713685,"{'latitude': '41.98938300094082', 'longitude': '-87.71368500000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H008,,0.0016666666666666668
SR23-01853999,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25 14:27:16,2023-10-25T14:33:01.000,2023-10-25 14:27:17,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01830278,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-22 09:09:35,2023-10-22T09:31:57.000,2023-10-22 09:09:35,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,9,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01941532,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-08 12:24:30,2023-11-08T12:33:19.000,2023-11-08 12:24:31,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,4,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01894748,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Phone Call,2023-11-01 08:56:42,2023-11-19T09:41:26.000,2023-11-19 09:41:26,5948 S TALMAN AVE,Chicago,Illinois,60629,5948,S,TALMAN,AVE,False,False,66,16,2,08,0824,23,8,4,11,1159652.296947672,1864914.885820009,41.785047001,-87.690195,"{'latitude': '41.7850470009401', 'longitude': '-87.69019500000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,J036,,432.74555555555554
SR23-01906057,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-02 15:40:20,2023-11-02T16:31:02.000,2023-11-02 15:40:20,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,15,5,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01787068,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-16 14:54:43,2023-10-16T15:31:35.000,2023-10-16 14:54:43,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01768958,Buildings - Plumbing Violation,BBC,DOB - Buildings,Open,Phone Call,2023-10-13 12:50:11,2023-10-13T12:50:13.000,,50 W 71ST ST,Chicago,Illinois,60621,50,W,71ST,ST,False,False,69,6,3,07,0731,4,12,6,10,1176988.257123903,1857936.41750614,41.765523918,-87.626844206,"{'latitude': '41.765523917575244', 'longitude': '-87.62684420552517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,P038,,
SR23-01823539,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-20 15:38:12,2023-10-20T16:30:42.000,2023-10-20 15:38:12,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,15,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01764665,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-12 19:39:44,2023-10-12T20:30:38.000,2023-10-12 19:39:44,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,19,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01778171,Water in Basement Complaint,AAF,DWM - Department of Water Management,Completed,Internet,2023-10-15 10:55:11,2023-10-15T12:46:26.000,2023-10-15 12:46:26,2132 W FLETCHER ST,Chicago,Illinois,60618,2132,W,FLETCHER,ST,False,False,5,32,3,19,1931,42,10,1,10,1161426.59538394,1920959.754450409,41.938803001,-87.682131,"{'latitude': '41.93880300094065', 'longitude': '-87.68213100000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,K015,,1.8541666666666667
SR23-01776772,Fly Dumping Complaint,SDR,Streets and Sanitation,Completed,Internet,2023-10-15 02:36:56,2023-10-16T11:22:49.000,2023-10-16 11:22:49,844 W GUNNISON ST,Chicago,Illinois,60640,844,W,GUNNISON,ST,False,False,3,46,2,20,2024,40,2,1,10,1169522.433150111,1932508.658425026,41.970321001,-87.6520395,"{'latitude': '41.970321000940785', 'longitude': '-87.6520395000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N010,,32.764722222222225
SR23-01904228,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Completed,Phone Call,2023-11-02 12:43:36,2023-11-18T04:12:54.000,2023-11-18 04:12:53,742 N LOCKWOOD AVE,Chicago,Illinois,60644,742,N,LOCKWOOD,AVE,False,False,25,37,2,15,1524,17,12,5,11,1140808.677958753,1904574.196435097,41.894244001,-87.7583115,"{'latitude': '41.8942440009405', 'longitude': '-87.7583115000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,C021,,375.48805555555555
SR23-01864128,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-26 21:01:32,2023-10-26T21:30:58.000,2023-10-26 21:01:32,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,21,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01758509,Water Lead Test Kit Request,WCA2,DWM - Department of Water Management,Open,Internet,2023-10-12 07:24:49,2023-10-18T15:06:23.000,,1931 N DAMEN AVE,Chicago,Illinois,60647,1931,N,DAMEN,AVE,False,False,22,32,3,14,1434,31,7,5,10,1162735.910579796,1912956.105035984,41.916813087,-87.677543923,"{'latitude': '41.916813087290336', 'longitude': '-87.67754392337314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L018,,
SR23-01779521,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-15 15:37:39,2023-10-15T16:30:55.000,2023-10-15 15:37:39,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,15,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01942612,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-11-08 13:08:24,2023-11-08T13:08:29.000,2023-11-08 13:08:29,3052 N NEVA AVE,Chicago,Illinois,60634,3052,N,NEVA,AVE,False,False,18,29,1,25,2511,29,13,4,11,1127847.004658193,1919692.448387759,41.935959001,-87.805575,"{'latitude': '41.93595900094062', 'longitude': '-87.80557500000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Y115,,0.001388888888888889
SR23-01767029,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-13 09:40:25,2023-10-13T10:32:16.000,2023-10-13 09:40:26,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01900134,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-01 19:47:28,2023-11-01T20:30:40.000,2023-11-01 19:47:28,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,19,4,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01833045,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-22 20:26:08,2023-10-22T20:30:53.000,2023-10-22 20:26:09,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,20,1,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01927923,Rodent Baiting/Rat Complaint,SGA,Streets and Sanitation,Completed,Internet,2023-11-06 13:39:33,2023-11-24T12:11:55.000,2023-11-24 12:11:55,848 N WOOD ST,Chicago,Illinois,60622,848,N,WOOD,ST,False,False,24,36,1,12,1212,4,13,2,11,1164167.826058207,1905893.633100585,41.897403001,-87.672483,"{'latitude': '41.89740300094052', 'longitude': '-87.6724830000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L020,,430.5394444444444
SR23-01729587,Tree Planting Request,SED,Streets and Sanitation,Open,Internet,2023-10-07 09:22:44,2023-10-07T09:22:47.000,,7029 S HERMITAGE AVE,Chicago,Illinois,60636,7029,S,HERMITAGE,AVE,False,False,67,17,3,07,0735,31,9,7,10,1165969.334622202,1857957.489895547,41.765823001,-87.6672315,"{'latitude': '41.765823000940046', 'longitude': '-87.66723150000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,L038,,
SR23-01851886,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25 11:28:15,2023-10-25T11:32:46.000,2023-10-25 11:28:15,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01814435,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-19 14:33:40,2023-10-19T15:31:10.000,2023-10-19 14:33:41,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,14,5,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01917350,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04 13:47:27,2023-11-04T14:30:51.000,2023-11-04 13:47:27,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,7,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01858400,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-26 09:45:50,2023-10-26T10:32:13.000,2023-10-26 09:45:51,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,9,5,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0002777777777777778
SR23-01826860,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-21 11:33:26,2023-10-21T12:30:56.000,2023-10-21 11:33:26,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,11,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01912269,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-03 13:36:43,2023-11-03T14:31:25.000,2023-11-03 13:36:43,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,6,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01817756,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19 21:14:02,2023-10-19T21:31:29.000,2023-10-19 21:14:02,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,21,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01835199,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23 09:41:50,2023-10-23T10:31:17.000,2023-10-23 09:41:50,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01785782,Traffic Signal Out Complaint,SFB,CDOT - Department of Transportation,Completed,Phone Call,2023-10-16 13:20:41,2023-10-16T13:22:22.000,2023-10-16 13:22:22,3700 S MICHIGAN AVE,Chicago,Illinois,60653,3700,S,MICHIGAN,AVE,False,False,35,3,1,02,0213,23,13,2,10,1177735.607095014,1880432.704165702,41.827239001,-87.623424,"{'latitude': '41.82723900094028', 'longitude': '-87.6234240000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CDOT - Department of Transportation,Q030,,0.028055555555555556
SR23-01897367,Yard Waste Pick-Up Request,SCQ,Streets and Sanitation,Completed,Internet,2023-11-01 12:56:01,2023-11-07T10:05:32.000,2023-11-07 10:05:32,5214 S GREENWOOD AVE,Chicago,Illinois,60615,5214,S,GREENWOOD,AVE,False,False,41,5,3,02,0233,9,12,4,11,1184195.511622059,1870703.342922315,41.800392001,-87.6000285,"{'latitude': '41.80039200094018', 'longitude': '-87.6000285000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,S034,,141.1586111111111
SR23-01769420,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-13 13:32:57,2023-10-13T14:31:11.000,2023-10-13 13:32:57,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01906821,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-02 17:40:07,2023-11-02T18:30:56.000,2023-11-02 17:40:07,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,17,5,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01844231,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Phone Call,2023-10-24 11:52:28,2023-10-26T11:10:23.000,2023-10-26 11:10:23,201 S ASHLAND AVE,Chicago,Illinois,60607,201,S,ASHLAND,AVE,False,False,28,34,3,12,1231,6,11,3,10,1165917.430928313,1899114.72513507,41.878764001,-87.6662505,"{'latitude': '41.87876400094043', 'longitude': '-87.66625050000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Streets and Sanitation,M023,,47.298611111111114
