,sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number,TIME_TO_CLOSE
134555,SR23-01862530,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-26 15:39:09,2023-10-26T16:31:49.000,2023-10-26 15:39:10,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,15,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
11988,SR23-01701057,Low Water Pressure Complaint,WBK,DWM - Department of Water Management,Completed,Phone Call,2023-10-03 10:06:10,2023-10-03T11:08:01.000,2023-10-03 11:08:01,20 E 75TH ST,Chicago,Illinois,60619,20,E,75TH,ST,False,False,69,6,2,03,0323,6,10,3,10,1177823.470687726,1855369.44840078,41.758461001,-87.6238605,"{'latitude': '41.75846100094004', 'longitude': '-87.62386050000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,Q039,,1.0308333333333333
173310,SR23-01910987,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-03 11:39:38,2023-11-03T12:30:43.000,2023-11-03 11:39:38,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,6,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
162750,SR23-01897601,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-01 13:20:17,2023-11-01T13:31:00.000,2023-11-01 13:20:17,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,32,34,1,01,0112,33,13,4,11,1177298.617850602,1900354.45943568,41.881915554,-87.624423802,"{'latitude': '41.88191555441526', 'longitude': '-87.62442380245952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,Q023,,0.0
117096,SR23-01840880,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23 23:26:07,2023-10-23T23:30:55.000,2023-10-23 23:26:07,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,23,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
23512,SR23-01716579,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-05 10:45:25,2023-10-05T11:31:52.000,2023-10-05 10:45:25,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
140198,SR23-01869414,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-27 13:51:43,2023-10-27T14:33:00.000,2023-10-27 13:51:43,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,13,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
72273,SR23-01778504,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-15 12:19:10,2023-10-15T12:30:38.000,2023-10-15 12:19:10,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,12,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
154693,SR23-01886947,Nuisance Animal Complaint,EAB,Animal Care and Control,Completed,Mobile Device,2023-10-31 00:25:58,2023-11-02T10:21:04.000,2023-11-02 10:21:04,1767 N STOCKTON DR,,,,1767,N,STOCKTON,DR,False,False,7,43,1,18,1814,32,0,3,10,1174973.490388964,1912401.58718832,41.915025885,-87.632600229,"{'latitude': '41.91502588539339', 'longitude': '-87.63260022898304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,P018,,57.91833333333334
51891,SR23-01752482,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mass Entry,2023-10-11 10:04:08,2023-10-11T10:04:14.000,2023-10-11 10:04:14,5820 S PULASKI RD,Chicago,Illinois,60629,5820,S,PULASKI,RD,False,False,62,13,1,08,0813,3,10,4,10,1150685.294440133,1865577.300320345,41.78704412,-87.723055053,"{'latitude': '41.78704412023971', 'longitude': '-87.72305505315131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,F035,,0.0016666666666666668
3179,SR23-01689860,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mobile Device,2023-10-01 20:28:01,2023-10-02T11:47:39.000,2023-10-02 11:47:39,3685 S ARCHER AVE,,,,3685,S,ARCHER,AVE,False,False,59,12,1,09,0912,3,20,1,10,1161451.732869288,1880146.380402924,41.826807001,-87.683175,"{'latitude': '41.82680700094028', 'longitude': '-87.6831750000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,K030,,15.327222222222222
149988,SR23-01880608,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-30 07:37:43,2023-10-30T08:31:30.000,2023-10-30 07:37:43,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,7,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
25614,SR23-01719367,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-10-05 15:15:18,2023-10-05T15:15:23.000,2023-10-05 15:15:23,2633 S STATE ST,Chicago,Illinois,60616,2633,S,STATE,ST,False,False,35,3,3,01,0133,18,15,5,10,1176795.664684239,1886789.582166597,41.844704034,-87.626680608,"{'latitude': '41.844704033982154', 'longitude': '-87.6266806083851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Q028,,0.001388888888888889
82955,SR23-01793020,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-17 11:28:41,2023-10-17T11:32:50.000,2023-10-17 11:28:42,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
130950,SR23-01857927,Water Lead Test Visit Request,WCA3,DWM - Department of Water Management,Completed,Internet,2023-10-26 09:10:40,2023-11-22T11:48:39.000,2023-11-22 11:48:39,6052 W BYRON ST,Chicago,Illinois,60634,6052,W,BYRON,ST,False,False,17,38,3,16,1633,39,9,5,10,1135103.096838953,1925359.746023187,41.951385001,-87.778773,"{'latitude': '41.9513850009407', 'longitude': '-87.77877300000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,A013,,650.6330555555555
74202,SR23-01780627,Yard Waste Pick-Up Request,SCQ,Streets and Sanitation,Completed,Internet,2023-10-15 20:55:02,2023-10-16T13:46:19.000,2023-10-16 13:46:19,8248 W CATHERINE AVE,Chicago,Illinois,60656,8248,W,CATHERINE,AVE,False,False,10,41,1,16,1614,23,20,1,10,1120127.174849158,1934775.615565804,41.977476001,-87.8336235,"{'latitude': '41.97747600094078', 'longitude': '-87.83362350000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,V109,,16.85472222222222
157908,SR23-01891221,Sidewalk Café/Outdoor Dining Complaint,CAFE,BACP - Business Affairs and Consumer Protection,Completed,Internet,2023-10-31 13:44:40,2023-11-01T14:05:11.000,2023-11-01 14:05:11,545 W DIVISION ST,Chicago,Illinois,,545,W,DIVISION,ST,False,False,8,27,2,18,1823,6,13,3,10,1172114.625733468,1908259.850503779,41.903724357,-87.643225694,"{'latitude': '41.90372435709046', 'longitude': '-87.64322569440822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,O020,,24.341944444444444
98384,SR23-01818076,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19 23:50:59,2023-10-20T00:30:38.000,2023-10-19 23:50:59,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,23,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
170321,SR23-01907236,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-02 19:20:29,2023-11-02T19:30:43.000,2023-11-02 19:20:29,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,19,5,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
77116,SR23-01784691,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-16 11:53:39,2023-10-16T12:32:06.000,2023-10-16 11:53:39,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,11,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
154291,SR23-01886417,Building Violation,BBA,DOB - Buildings,Open,Phone Call,2023-10-30 19:52:30,2023-10-30T19:52:34.000,,6754 S ST LAWRENCE AVE,Chicago,Illinois,60637,6754,S,ST LAWRENCE,AVE,False,False,42,6,2,03,0321,10,19,2,10,1181328.276404063,1860137.868466633,41.771466001,-87.610869,"{'latitude': '41.77146600094009', 'longitude': '-87.6108690000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,R038,,
43673,SR23-01741556,Report an Injured Animal,EAQ,Animal Care and Control,Completed,Phone Call,2023-10-09 17:41:19,2023-10-09T19:21:29.000,2023-10-09 19:21:29,11700 S LAFAYETTE AVE,Chicago,Illinois,60628,11700,S,LAFAYETTE,AVE,False,False,53,9,2,05,0522,9,17,2,10,1177942.575136804,1827341.898146928,41.681547001,-87.62427,"{'latitude': '41.68154700093972', 'longitude': '-87.62427000000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,P050,,1.6694444444444445
50852,SR23-01751080,Vicious Animal Complaint,EAF,Animal Care and Control,Completed,Phone Call,2023-10-11 07:50:33,2023-10-11T10:49:06.000,2023-10-11 10:49:06,7000 N SACRAMENTO AVE,Chicago,Illinois,60645,7000,N,SACRAMENTO,AVE,False,False,2,50,1,24,2411,33,7,4,10,1155130.363372889,1946283.75576351,42.008422393,-87.704588188,"{'latitude': '42.00842239251877', 'longitude': '-87.70458818812402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,I005,,2.9758333333333336
166449,SR23-01902331,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-02 09:50:36,2023-11-02T10:31:39.000,2023-11-02 09:50:36,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,5,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
104286,SR23-01825527,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-21 06:56:59,2023-10-21T07:31:00.000,2023-10-21 06:56:59,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,6,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
96951,SR23-01815397,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19 15:45:34,2023-10-19T16:31:40.000,2023-10-19 15:45:34,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,15,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
105874,SR23-01827402,Report an Injured Animal,EAQ,Animal Care and Control,Completed,Mobile Device,2023-10-21 13:23:13,2023-10-22T08:58:50.000,2023-10-22 08:58:50,5500 W SCHOOL ST,,,,5500,W,SCHOOL,ST,False,False,15,30,3,16,1633,17,13,7,10,1139065.736186667,1921476.243364133,41.940657001,-87.764301,"{'latitude': '41.940657000940654', 'longitude': '-87.76430100000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,C014,,19.593611111111112
161500,SR23-01895977,Tree Debris Clean-Up Request,SEL,Streets and Sanitation,Completed,Salesforce Mobile App,2023-11-01 10:48:00,2023-11-03T10:29:08.000,2023-11-03 10:29:08,8624 S BALTIMORE,Chicago,Illinois,60617,8624,S,BALTIMORE,,False,False,46,10,2,04,0424,27,10,4,11,1198205.67416595,1848294.762155661,41.738562001,-87.549399,"{'latitude': '41.73856200093995', 'longitude': '-87.5493990000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Streets and Sanitation,X042,,47.68555555555555
23528,SR23-01716598,Vacant/Abandoned Building Complaint,BBK,DOB - Buildings,Completed,Phone Call,2023-10-05 10:47:55,2023-11-27T07:15:14.000,2023-11-27 07:15:11,5010 S WESTERN AVE,Chicago,Illinois,60632,5010,S,WESTERN,AVE,False,False,63,15,2,09,0923,17,10,5,10,1161135.723688459,1871314.935371029,41.802579001,-87.684579,"{'latitude': '41.80257900094019', 'longitude': '-87.68457900000193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,J033,,1268.4544444444443
19320,SR23-01710925,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-04 13:27:13,2023-10-04T13:31:41.000,2023-10-04 13:27:13,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
71253,SR23-01777401,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-15 08:34:58,2023-10-15T09:30:59.000,2023-10-15 08:34:58,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,8,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
52446,SR23-01753278,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-11 11:13:25,2023-10-11T11:32:19.000,2023-10-11 11:13:25,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,11,4,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
124674,SR23-01850146,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25 09:15:04,2023-10-25T09:31:49.000,2023-10-25 09:15:04,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
189528,SR23-01930564,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-11-06 23:16:33,2023-11-06T23:30:38.000,2023-11-06 23:16:33,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,23,2,11,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
197059,SR23-01940235,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Completed,Mobile Device,2023-11-08 10:32:33,2023-11-14T08:32:24.000,2023-11-14 08:32:23,2438 N BERNARD ST,,,,2438,N,BERNARD,ST,False,False,22,35,1,14,1413,2,10,4,11,1152880.483027639,1916186.626204788,41.925879001,-87.713667,"{'latitude': '41.92587900094062', 'longitude': '-87.7136670000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H016,,141.99722222222223
48184,SR23-01747529,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-10 14:06:45,2023-10-10T14:32:11.000,2023-10-10 14:06:45,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,14,3,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
13888,SR23-01703649,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-03 14:04:29,2023-10-03T14:32:04.000,2023-10-03 14:04:30,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
33967,SR23-01729930,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-07 10:23:51,2023-10-07T10:31:23.000,2023-10-07 10:23:51,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
173109,SR23-01910695,Sanitation Code Violation,SCB,Streets and Sanitation,Completed,Internet,2023-11-03 11:06:40,2023-11-03T11:23:42.000,2023-11-03 11:23:42,5531 S LAWNDALE AVE,Chicago,Illinois,60629,5531,S,LAWNDALE,AVE,False,False,62,23,2,08,0822,9,11,6,11,1152666.567704751,1867564.071178783,41.792457297,-87.715738204,"{'latitude': '41.79245729663873', 'longitude': '-87.71573820430334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,G035,,0.2838888888888889
62099,SR23-01766038,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-13 07:51:37,2023-10-13T08:31:49.000,2023-10-13 07:51:38,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,7,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
19209,SR23-01710782,Garbage Cart Maintenance,SIE,Streets and Sanitation,Completed,Alderman's Office,2023-10-04 13:17:02,2023-11-08T08:07:56.000,2023-11-08 08:07:56,4151 S ARTESIAN AVE,Chicago,Illinois,60632,4151,S,ARTESIAN,AVE,False,False,58,12,2,09,0921,21,13,4,10,1160789.675390356,1876855.0780767,41.817789001,-87.685695,"{'latitude': '41.81778900094023', 'longitude': '-87.68569500000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,J031,,834.8483333333334
